timestamp,x,y,z,qx,qy,qz,qw
1644824097.448930,62.011446,119.627498,7.720142,-0.024863,0.001316,0.919942,-0.391262
1644824097.550377,62.011842,119.627597,7.720748,-0.025040,0.002733,0.919949,-0.391228
1644824097.651044,62.011980,119.628033,7.721679,-0.024663,0.000337,0.919788,-0.391640
1644824097.748594,62.011253,119.628812,7.722971,-0.025661,0.001726,0.919927,-0.391245
1644824097.848893,62.010696,119.629549,7.724480,-0.025438,0.002169,0.919912,-0.391294
1644824097.949109,62.010721,119.629871,7.725940,-0.024726,0.001122,0.920042,-0.391037
1644824098.050127,62.011423,119.630076,7.726998,-0.024348,0.001231,0.920130,-0.390854
1644824098.151634,62.013127,119.630103,7.727316,-0.024703,0.001936,0.919811,-0.391578
1644824098.248418,62.015190,119.629427,7.726801,-0.025061,0.000379,0.919974,-0.391177
1644824098.349128,62.016718,119.628853,7.725412,-0.025376,0.001785,0.919868,-0.391403
1644824098.449052,62.017661,119.628652,7.723965,-0.025370,0.002857,0.919952,-0.391198
1644824098.549675,62.018639,119.628002,7.723075,-0.024669,0.000411,0.919870,-0.391447
1644824098.648908,62.019007,119.627834,7.722524,-0.025800,0.004041,0.920027,-0.390984
1644824098.751446,62.017619,119.627605,7.721866,-0.025592,0.003579,0.919947,-0.391191
1644824098.850995,62.016741,119.626076,7.721778,-0.025901,0.001834,0.920120,-0.390776
1644824098.949190,62.015969,119.624254,7.722241,-0.025480,0.002039,0.920050,-0.390966
1644824099.048960,62.014029,119.623665,7.723329,-0.025437,0.001178,0.919833,-0.391483
1644824099.149902,62.012805,119.624111,7.724665,-0.024772,0.001439,0.919786,-0.391635
1644824099.250409,62.012171,119.624027,7.726086,-0.025688,0.003964,0.920035,-0.390974
1644824099.348966,62.011584,119.624887,7.727250,-0.025127,0.002210,0.920050,-0.390989
1644824099.450355,62.011495,119.626255,7.728014,-0.025535,0.002276,0.920074,-0.390906
1644824099.549570,62.012377,119.626513,7.728437,-0.024719,0.001366,0.920024,-0.391079
1644824099.650490,62.013001,119.626424,7.729078,-0.025302,0.001724,0.919867,-0.391409
1644824099.748239,62.013262,119.625277,7.729766,-0.024986,0.003089,0.920140,-0.390780
1644824099.849263,62.014395,119.622890,7.730582,-0.024241,0.001509,0.919918,-0.391358
1644824099.948848,62.014926,119.619996,7.731260,-0.025593,0.002383,0.920030,-0.391005
1644824100.049643,62.014000,119.618131,7.731487,-0.024753,0.001837,0.919958,-0.391231
1644824100.151292,62.012437,119.617120,7.731812,-0.025558,0.002095,0.919911,-0.391289
1644824100.248601,62.010688,119.616761,7.731983,-0.024649,0.000629,0.919938,-0.391288
1644824100.349152,62.008749,119.617414,7.732232,-0.024288,0.001818,0.919968,-0.391236
1644824100.449108,62.008600,119.617613,7.732847,-0.025613,0.003172,0.919983,-0.391108
1644824100.550008,62.010519,119.617550,7.733326,-0.025047,0.001706,0.919915,-0.391312
1644824100.651311,62.012115,119.618093,7.733045,-0.025404,0.001778,0.919861,-0.391417
1644824100.749206,62.013207,119.618446,7.731706,-0.024689,0.002152,0.919995,-0.391145
1644824100.849296,62.013913,119.618418,7.730182,-0.025275,0.001632,0.919917,-0.391295
1644824100.949896,62.013469,119.618981,7.728659,-0.026435,0.004001,0.920059,-0.390866
1644824101.050310,62.012515,119.620114,7.727544,-0.025383,0.003460,0.919977,-0.391135
1644824101.151256,62.011738,119.621083,7.727204,-0.025019,0.002385,0.919880,-0.391393
1644824101.248715,62.011104,119.622635,7.727519,-0.025627,0.002804,0.919899,-0.391306
1644824101.350070,62.010232,119.625017,7.728332,-0.026396,0.002941,0.919890,-0.391276
1644824101.449227,62.010537,119.626464,7.729224,-0.024557,0.001604,0.919932,-0.391305
1644824101.549804,62.011765,119.627376,7.730836,-0.024655,0.000351,0.919838,-0.391523
1644824101.649634,62.012401,119.628156,7.732541,-0.025313,0.002727,0.919930,-0.391256
1644824101.750762,62.012411,119.628500,7.734074,-0.024908,0.002095,0.920062,-0.390975
1644824101.851139,62.012033,119.628629,7.735081,-0.024372,0.002058,0.920035,-0.391071
1644824101.950546,62.011329,119.628641,7.735344,-0.024888,0.001875,0.919824,-0.391537
1644824102.050920,62.010966,119.627853,7.734789,-0.024616,0.003353,0.920110,-0.390871
1644824102.151110,62.010835,119.626216,7.733694,-0.024828,0.000510,0.919859,-0.391462
1644824102.251274,62.010392,119.624936,7.731624,-0.025211,0.002202,0.919877,-0.391390
1644824102.348817,62.010152,119.624399,7.728731,-0.024600,0.001918,0.920202,-0.390666
